"","LRR","Year.transform","Corrected.LRR","Stems.year.T"
"1",0.455062049247537,1,0.455062049247537,59
"2",0.010695289116748,1,0.010695289116748,93
"3",0.285018955032297,1,0.285018955032297,94
"4",0.113328685307003,1,0.113328685307003,125
"5",0.492079580944935,1.4142135623731,0.347952808569598,140
"6",0.107541541604187,1,0.107541541604187,229
"7",-0.263148885927909,1,-0.263148885927909,255
"8",-0.260834822415593,1,-0.260834822415593,196
"9",-0.173092750356333,1,-0.173092750356333,151
"10",-0.300892304188587,1,-0.300892304188587,127
"11",-0.186585955580412,1,-0.186585955580412,94
"12",-0.38641691313747,1,-0.38641691313747,78
"13",-1.26224171244991,1.73205080756888,-0.728755592465331,53
"14",0.23638877806423,3.46410161513775,0.068239562324395,15
"15",0.55206858230004,1,0.55206858230004,19
