"","lower","upper","prob"
"1",0,0.000368819914618762,0
"2",0.000839774013962451,0.00247281698155576,0.0015
"3",0.00652686356476373,0.0101682805062639,0.0082
"4",0.0170668686136892,0.0226178181163017,0.0197
"5",0.0311039807209865,0.0383703324658924,0.0346
"6",0.0497466600424785,0.0587152549866876,0.0541
"7",0.0688472240402756,0.079202567522098,0.0739
"8",0.0863074068119961,0.0977315471270377,0.0919
"9",0.107541309664397,0.120084646291112,0.1137
"10",0.126304181129778,0.139710398610766,0.1329
"11",0.143642515915943,0.157761615972724,0.1506
"12",0.161996903061052,0.176796220424755,0.1693
"13",0.180187065246831,0.19559519013575,0.1878
"14",0.198306894860462,0.214264568289691,0.2062
"15",0.212998517934399,0.229364215847834,0.2211
"16",0.230865783460812,0.247686355976749,0.2392
"17",0.245886394185147,0.263056855257161,0.2544
"18",0.261217580681016,0.278716608755886,0.2699
"19",0.275274762028306,0.293051131410409,0.2841
"20",0.287757073461439,0.305761461611662,0.2967
"21",0.302032550675513,0.320277577725225,0.3111
"22",0.313539708128059,0.331963650207574,0.3227
"23",0.325351168672845,0.343945246130872,0.3346
"24",0.335977202447637,0.354712970266948,0.3453
"25",0.347900453244713,0.366782720258182,0.3573
"26",0.357443677430443,0.376433897565873,0.3669
"27",0.366891463945724,0.385980571540706,0.3764
"28",0.378632017479328,0.397833138196387,0.3882
"29",0.387789763719998,0.407070028615453,0.3974
"30",0.396353466465036,0.415701312723181,0.406
"31",0.405617657194236,0.425031701199101,0.4153
"32",0.413589688167083,0.433055007473471,0.4233
"33",0.422860440499062,0.442378834995744,0.4326
"34",0.431336757177731,0.450897564671189,0.4411
"35",0.438119893390812,0.457710465691328,0.4479
"36",0.445703225298735,0.465322704945056,0.4555
"37",0.452789723790433,0.472432069097177,0.4626
"38",0.459778362960223,0.479439350931453,0.4696
"39",0.465969913334707,0.485644187791243,0.4758
"40",0.472262876015509,0.491947554119064,0.4821
"41",0.477658084542862,0.497349199054652,0.4875
"42",0.483754047820842,0.503449681375332,0.4936
"43",0.487852154336237,0.507549185842998,0.4977
"44",0.49325066573277,0.512947527938591,0.5031
"45",0.499550373502623,0.519244149237023,0.5094
"46",0.505551542076315,0.525239484521825,0.5154
"47",0.511354014688961,0.531033632281127,0.5212
"48",0.516657429990707,0.53632712866951,0.5265
"49",0.522062046729043,0.541719365315205,0.5319
"50",0.526867115674294,0.546511499341325,0.5367
