"","Gbest","Glo","Gup","Year"
"1",2.58074121219936e-06,1.61154219358891e-10,0.00121714782477852,1
"2",0.000983709154611947,2.24975534715597e-06,0.0276885867769882,2
"3",0.0076341107504309,5.68424583611898e-05,0.0828702846740157,3
"4",0.021917157108083,0.000290318619671352,0.150348555931021,4
"5",0.0419564914768104,0.000776828891284263,0.226761243091976,5
"6",0.0653553912642982,0.00149991859468501,0.299368328409868,6
"7",0.0903179886006101,0.00239972883426841,0.365776919681518,7
"8",0.115685586658992,0.00341082674895326,0.425489799858333,8
"9",0.140758885503672,0.00447797463130413,0.478792483288454,9
"10",0.165136453911851,0.00555963389355534,0.526257083948002,10
"11",0.188602608401923,0.00662666238236898,0.568525574766679,11
"12",0.211055465855983,0.00765972194297276,0.606218472616052,12
"13",0.232461977560944,0.0086467430834125,0.639900011999619,13
"14",0.252830041709227,0.00958084764054634,0.670068611120194,14
"15",0.272191226068967,0.010458769868346,0.697158309783641,15
"16",0.29059006292327,0.0112797014203043,0.721544554089386,16
"17",0.308077428946803,0.0120444646525999,0.750286911628254,17
"18",0.324706478080274,0.012754929120878,0.77785382982199,18
"19",0.340530178639513,0.0134136040304584,0.802318137257184,19
"20",0.355599862467172,0.0140233563403035,0.824021809966513,20
"21",0.369964413423488,0.0145872179201544,0.843274827884353,21
"22",0.383669858826032,0.0151082555154337,0.860355724668589,22
"23",0.396759212920003,0.0155894848441429,0.875513259804916,23
"24",0.40927247555996,0.0160338155873474,0.888968657441539,24
"25",0.421246723826838,0.0164440179054754,0.900918071477602,25
"26",0.432716256531526,0.0168227038563748,0.911535072990533,26
"27",0.443712765951817,0.0171723190331596,0.920973042516508,27
"28",0.454265520519132,0.0174951411147629,0.92936740405237,28
"29",0.464401548288903,0.0177932829964116,0.936837671454295,29
"30",0.474145815026523,0.0180686988586119,0.943489298554694,30
"31",0.48352139334895,0.0183231920244774,0.949415336553351,31
"32",0.492549621054544,0.0185584238046428,0.954697909123528,32
"33",0.501250247860798,0.0187759227776513,0.959409519186054,33
"34",0.509641570455854,0.0189770941305858,0.963614202722275,34
"35",0.517740556190598,0.0191632288103769,0.96736854514412,35
"36",0.525562955983897,0.0193355123252436,0.970722575146386,36
"37",0.533123407144552,0.0194950330985077,0.973720549970289,37
"38",0.54043552687004,0.0196427903209902,0.976401644821751,38
"39",0.547511997191233,0.019779701278672,0.978800557944013,39
"40",0.554364642112008,0.019906608153106,0.980948041621156,40
"41",0.561004497655072,0.0200242843059534,0.982871368232088,41
"42",0.567441875478421,0.0201334400679733,0.984594739406374,42
"43",0.57368642067573,0.020234728058251,0.986139645364039,43
"44",0.5797471643221,0.0203287480624432,0.987525180651905,44
"45",0.585632571275948,0.0204160515001012,0.988768321716028,45
"46",0.591350583699726,0.0204971455112318,0.989884171066502,46
"47",0.596908660717238,0.020572496691579,0.99088617218979,47
"48",0.602313814583899,0.0206425345049141,0.991786298836948,48
"49",0.607572643708451,0.0207076543991231,0.992595221855,49
"50",0.61269136283027,0.0207682206512081,0.993322456326633,50
