"","Gbest","Glo","Gup","Year"
"1",0,0,0,1
"2",0,0,7.105427357601e-15,2
"3",0,0,1.31738625389904e-09,3
"4",0,0,4.5667382844569e-07,4
"5",8.22675261247241e-14,0,1.86781134406124e-05,5
"6",3.84361986682791e-11,0,0.000215682075850881,6
"7",3.03225894393577e-09,0,0.00120761041550258,7
"8",1.76588070217594e-07,0,0.00429898437257688,8
"9",1.55720374270367e-06,3.33066907387547e-16,0.0120499231945575,9
"10",1.11210317016844e-05,1.89293025698589e-14,0.0272468389363481,10
"11",5.49493296887062e-05,4.99489338778858e-13,0.0518758142250548,11
"12",0.00020340440525179,7.62334639858864e-12,0.0868708218028773,12
"13",0.000605856554409818,7.63967777928087e-11,0.131883253793,13
"14",0.00152050775011345,7.0034311453411e-10,0.18549257661671,14
"15",0.00332739215508142,3.45784601118909e-09,0.245587832903167,15
"16",0.00651589023069666,1.39762331613707e-08,0.309767777586803,16
"17",0.0116458520955942,4.79211664824881e-08,0.375669412582926,17
"18",0.0192919271137614,1.43229308021241e-07,0.441191501617798,18
"19",0.0299823988479319,3.81320465386975e-07,0.504616273152604,19
"20",0.044144905070881,9.2004936210477e-07,0.564650041764575,20
"21",0.0620648584876485,2.04023748891178e-06,0.639120400410457,21
"22",0.0838636839978144,4.2060748951723e-06,0.713675602812162,22
"23",0.109494556426799,8.13797131165039e-06,0.786453856931713,23
"24",0.138753401069257,1.4894612294448e-05,0.852955186669278,24
"25",0.171301804217822,2.59597043841412e-05,0.902208836762004,25
"26",0.206696760084042,4.33280231094387e-05,0.937014318194488,26
"27",0.244423037244489,6.95852338637538e-05,0.960607086388187,27
"28",0.283925124778642,0.000107976304846564,0.976017576263355,28
"29",0.324636242928808,0.000162458236514781,0.985755501574146,29
"30",0.366002606431353,0.000237733892249599,0.991728656181331,30
"31",0.407503182914371,0.00033926506363523,0.995295710164043,31
"32",0.4486639292345,0.000473264128607711,0.997374940089505,32
"33",0.489066964849111,0.000646664809212486,0.998560606654169,33
"34",0.528355430043142,0.000867073554932637,0.999223361213608,34
"35",0.566235553953747,0.00114270375118151,0.999587138356221,35
"36",0.60247491784311,0.00148229555970549,0.999783513611509,36
"37",0.636898979076181,0.00189502440506044,0.99988791552484,37
"38",0.66938693733018,0.00239040130354233,0.999942647059734,38
"39",0.6998648540835,0.00297816811578417,0.999970971104158,39
"40",0.728300743102298,0.00366819067614138,0.999985455265408,40
"41",0.754697370812127,0.00447035242009455,0.999992780826652,41
"42",0.77908686965183,0.00539445086541873,0.999996448149844,42
"43",0.801524543609761,0.00645009888751076,0.999998266745507,43
"44",0.822084286069116,0.00764663239296007,0.9999991606483,44
"45",0.84085327880166,0.00899302561468342,0.999999596434996,45
"46",0.857928500593648,0.0104978149230756,0.999999807262017,46
"47",0.873412837754599,0.0121690317256219,0.99999990852846,47
"48",0.887412678811743,0.0140141447556104,0.999999956844534,48
"49",0.900034740442984,0.0160400118290261,0.999999979752562,49
"50",0.911385051055744,0.0182528409000692,0.99999999055003,50
