"","lower","upper","prob"
"1",2.53177759347469e-06,0.000557036997947047,1e-04
"2",0.00859576640862749,0.0126968134361681,0.0105
"3",0.0294905177434454,0.0365849186133274,0.0329
"4",0.0647849973923015,0.0748673435032094,0.0697
"5",0.0985701160106662,0.110661312461097,0.1045
"6",0.134332119198861,0.148077616334535,0.1411
"7",0.168679525738678,0.183709600692863,0.1761
"8",0.19978519467631,0.215785389306538,0.2077
"9",0.232643796689216,0.249507289680169,0.241
"10",0.261613405580487,0.279120550115107,0.2703
"11",0.287162490193922,0.305156395221431,0.2961
"12",0.312944350496725,0.331359357974884,0.3221
"13",0.335679204615444,0.354411143095942,0.345
"14",0.357244818888378,0.376232872736221,0.3667
"15",0.377835860371098,0.397029761705056,0.3874
"16",0.396552658866481,0.415902003741298,0.4062
"17",0.415682777857705,0.435160693851778,0.4254
"18",0.432633390412109,0.452200173839346,0.4424
"19",0.450094623043828,0.469728743193099,0.4599
"20",0.464072341945456,0.483742866313202,0.4739
"21",0.480555983505242,0.500249610292851,0.4904
"22",0.493650600926604,0.513347359670021,0.5035
"23",0.506051703211013,0.525739032040969,0.5159
"24",0.51885917223807,0.538524104472313,0.5287
"25",0.529770619146479,0.549406305978597,0.5396
"26",0.540486427993489,0.560084261872013,0.5503
"27",0.551407217264317,0.570957120510139,0.5612
"28",0.560026979405427,0.579532346381538,0.5698
"29",0.570655447379457,0.590097700488846,0.5804
"30",0.580285180743856,0.59966237164077,0.59
"31",0.589918708910787,0.609223247568884,0.5996
"32",0.597246770670721,0.616490930274552,0.6069
"33",0.605882705609272,0.625049981580564,0.6155
"34",0.613718018176217,0.632810121258969,0.6233
"35",0.62034994276926,0.639374348246709,0.6299
"36",0.629497073221497,0.648421911119427,0.639
"37",0.637541528892967,0.656372789697528,0.647
"38",0.644381572817113,0.663128779453699,0.6538
"39",0.65233073774018,0.670975006063156,0.6617
"40",0.658873352238511,0.677428599323592,0.6682
"41",0.665518650949841,0.683979449569776,0.6748
"42",0.671561631897678,0.689932967247213,0.6808
"43",0.677606353541571,0.695884743796749,0.6868
"44",0.684761559675717,0.70292539326479,0.6939
"45",0.689600308227048,0.707683842480959,0.6987
"46",0.696255498473844,0.714224798624478,0.7053
"47",0.700390914333678,0.718286988524454,0.7094
"48",0.705435295968293,0.723239686723197,0.7144
"49",0.709976374832733,0.72769597935354,0.7189
"50",0.716133805690842,0.733734984844732,0.725
