"","lower","upper","prob"
"1",0,0.000368819914618762,0
"2",0.000620206377296404,0.00209521927937097,0.0012
"3",0.00397250951472,0.00692686758418948,0.0053
"4",0.00968556033619451,0.0140058283495453,0.0117
"5",0.0174397934918842,0.0230445913249345,0.0201
"6",0.025798814294531,0.0324792419021337,0.029
"7",0.0360530523601004,0.0438178798594177,0.0398
"8",0.0450427025578101,0.0536222675078061,0.0492
"9",0.052727975717848,0.0619320204513096,0.0572
"10",0.0612106966554351,0.0710438985563511,0.066
"11",0.0695247418579218,0.0799246257150388,0.0746
"12",0.0774708112496645,0.0883736061968864,0.0828
"13",0.0860158090242644,0.0974233246061263,0.0916
"14",0.0935057515098811,0.105328777930776,0.0993
"15",0.101591479245146,0.113838103380213,0.1076
"16",0.108126853487244,0.12069874611129,0.1143
"17",0.113789879654262,0.126632278236391,0.1201
"18",0.119359946904611,0.132458833615725,0.1258
"19",0.125130052198719,0.13848523709078,0.1317
"20",0.130610848298025,0.144201131194335,0.1373
"21",0.135213720614481,0.148995483674743,0.142
"22",0.140211203521451,0.154194991886093,0.1471
"23",0.145996176437178,0.160206541086312,0.153
"24",0.150509040402183,0.16489096758464,0.1576
"25",0.15394418133598,0.168453766154153,0.1611
"26",0.157380530496275,0.172015357397825,0.1646
"27",0.161210990686273,0.175982603233001,0.1685
"28",0.164846331392894,0.179745087116455,0.1722
"29",0.168777830657085,0.183811237015216,0.1762
"30",0.171727387549486,0.186859917615176,0.1792
"31",0.174874442863173,0.190110982851741,0.1824
"32",0.177432067645249,0.19275183142422,0.185
"33",0.179793454421268,0.195189035749343,0.1874
"34",0.183041135289297,0.19853941811701,0.1907
"35",0.185108300617496,0.200671020577068,0.1928
"36",0.187963535187584,0.203614084719832,0.1957
"37",0.189637600881404,0.20533902189712,0.1974
"38",0.1913118911132,0.207063734664024,0.1991
"39",0.194070029375247,0.209903954553091,0.2019
"40",0.195941961978671,0.211830908024807,0.2038
"41",0.197715621470584,0.213656193371294,0.2056
"42",0.19958807846402,0.215582622736057,0.2075
"43",0.201855091557581,0.217914261737328,0.2098
"44",0.204023898223504,0.220144165958058,0.212
"45",0.205700032363215,0.221867035807599,0.2137
"46",0.206981920801129,0.223184385784857,0.215
"47",0.209546055155435,0.225818728440027,0.2176
"48",0.210828299522759,0.227135722665181,0.2189
"49",0.212307957732648,0.228655185979309,0.2204
"50",0.214281075916107,0.23068089661093,0.2224
