"","Gbest","Glo","Gup","Year"
"1",0,0,3.8086888263881e-11,1
"2",1.06877129179466e-12,0,5.4607891734546e-06,2
"3",1.12443122546187e-08,1.03450130289428e-16,0.000305294217411409,3
"4",1.18971532406951e-06,3.6019785529365e-13,0.00234730072821491,4
"5",1.98286735128875e-05,5.20696137190868e-11,0.00809793343267605,5
"6",0.000130641811086786,1.15395627799137e-09,0.0216865820674001,6
"7",0.000505352246595673,9.88878976517365e-09,0.0457440758528971,7
"8",0.00139952611097961,4.95338329814817e-08,0.0813599557905746,8
"9",0.00309916985595822,1.7331819273995e-07,0.126930748119489,9
"10",0.00586505528034277,4.71498857643898e-07,0.179589691292959,10
"11",0.00989679255570218,1.06773070375488e-06,0.236701606955654,11
"12",0.0153191771598278,2.10663237452006e-06,0.295879292306606,12
"13",0.0221844967644142,3.73760860584246e-06,0.355163302770574,13
"14",0.030483416496153,6.09961029024056e-06,0.413059488208298,14
"15",0.0401589500991047,9.30959044415017e-06,0.46850269778316,15
"16",0.0511202491636005,1.34555304321897e-05,0.520789800603687,16
"17",0.063254621743995,1.85936780218919e-05,0.569506042785599,17
"18",0.0764372363113622,2.47490630504502e-05,0.614456570562292,18
"19",0.0905385310884244,3.19182319879872e-05,0.656114368760612,19
"20",0.105429607188237,4.00732592291771e-05,0.715366956979448,20
"21",0.120985968644816,4.91663024836692e-05,0.76682707281356,21
"22",0.137089968363689,5.9134187662237e-05,0.810735873166029,22
"23",0.153632275903117,6.99026960438906e-05,0.847636867564154,23
"24",0.170512627630825,8.13903710074693e-05,0.878244396011236,24
"25",0.187640065407234,9.35117645717973e-05,0.903344260024283,25
"26",0.204932822172935,0.000106180112339606,0.923723611825837,26
"27",0.222317973354137,0.000119309467372681,0.940126399205628,27
"28",0.239730941628762,0.000132816346533723,0.953227209644958,28
"29",0.257114918306686,0.000146620952995029,0.963619704495825,29
"30",0.274420246135534,0.000160648040527129,0.971813929753071,30
"31",0.291603794556437,0.000174827482142103,0.978240042491119,31
"32",0.308628348265395,0.000189094599933183,0.983255271746181,32
"33",0.325462022529305,0.00020339030602433,0.987152417152016,33
"34",0.342077713381273,0.000217661097356254,0.990168879634005,34
"35",0.358452587047066,0.00023185894014592,0.99249553895664,35
"36",0.374567610327934,0.000245941073566988,0.994284344436004,36
"37",0.390407121877465,0.000259869756643467,0.995655656549455,37
"38",0.405958443131309,0.000273611977558245,0.996704138906241,38
"39",0.421211526907366,0.000287139140522549,0.997503930901788,39
"40",0.436158641263545,0.000300426741974072,0.998112620079044,40
"41",0.450794085987646,0.000313454045088553,0.998574938319499,41
"42",0.465113939031096,0.000326203759325781,0.998925502293988,42
"43",0.479115830236307,0.000338661729907162,0.999190834960638,43
"44",0.492798739810243,0.000350816640669589,0.999391304024644,44
"45",0.506162819139923,0.000362659732592212,0.999542653838935,45
"46",0.519209231710165,0.000374184539399524,0.999656689327521,46
"47",0.531940012058585,0.000385386640954089,0.999742522851778,47
"48",0.544357940878318,0.000396263434628594,0.99980708277752,48
"49",0.556466434550155,0.000406813924458413,0.999855547006039,49
"50",0.568269447548935,0.00041703852758917,0.999891906965662,50
