"","Gbest","Glo","Gup","Year"
"1",1.53681275744509e-05,3.03714386004213e-11,0.0127513034609325,1
"2",0.00170304841975374,1.39141760048449e-07,0.0953223305063575,2
"3",0.00869962512369313,1.82005159162381e-06,0.207266348570615,3
"4",0.0201850511871057,5.94385475664135e-06,0.310270008709543,4
"5",0.0339158215320176,1.12194412767592e-05,0.397952539494779,5
"6",0.0483381047661783,1.62260284882953e-05,0.471400320633397,6
"7",0.0626004375007377,2.02984131829055e-05,0.533003087940655,7
"8",0.0762822298200501,2.33341633206486e-05,0.585013066683521,8
"9",0.0891995006035769,2.5480777745197e-05,0.629276204458467,9
"10",0.101293304544028,2.69485578309302e-05,0.667248537588914,10
"11",0.112568959663071,2.79301853657532e-05,0.700069351497496,11
"12",0.123063350877333,2.85768916071179e-05,0.73059000878269,12
"13",0.132827392145071,2.89985415176245e-05,0.763429291044048,13
"14",0.141916678521341,2.92714576502615e-05,0.804668173624883,14
"15",0.15038659493598,2.94471958539702e-05,0.838986315019273,15
"16",0.158289866024902,2.95599455568497e-05,0.867427268058789,16
"17",0.16567544534508,2.96320968674523e-05,0.89092750675467,17
"18",0.172588134568211,2.96781853540534e-05,0.910304065201202,18
"19",0.179068592335426,2.97075896123254e-05,0.926256613006012,19
"20",0.185153541724388,2.97263345318279e-05,0.939376697697928,20
"21",0.190876069167905,2.97382785903263e-05,0.950159967590082,21
"22",0.196265955298176,2.97458874639453e-05,0.959019048642178,22
"23",0.201350005425789,2.97507344134119e-05,0.966295853167549,23
"24",0.206152362970336,2.97538222665108e-05,0.972272741819942,24
"25",0.210694798070452,2.97557898379729e-05,0.977182325988464,25
"26",0.214996968625963,2.97570439164652e-05,0.981215897554743,26
"27",0.219076653785105,2.97578435025312e-05,0.984530575064921,27
"28",0.22294996133098,2.97583535037582e-05,0.98725530093213,28
"29",0.226631511098756,2.975867893321e-05,0.989495838048001,29
"30",0.2301345967967,2.97588866790273e-05,0.991338910854128,30
"31",0.23347132860388,2.97590193586223e-05,0.992855624148178,31
"32",0.236652758789808,2.97591041353703e-05,0.994104277641772,32
"33",0.239688992413569,2.97591583296206e-05,0.995132678313304,33
"34",0.242589284950543,2.97591929899803e-05,0.995980037371665,34
"35",0.24536212848546,2.97592151676814e-05,0.996678524851597,35
"36",0.248015327912519,2.9759229364932e-05,0.997254542759822,36
"37",0.250556068402237,2.97592384575929e-05,0.997729767287295,37
"38",0.252990975232388,2.97592442836672e-05,0.998122001794743,38
"39",0.25532616693701,2.97592480183287e-05,0.998445874892385,39
"40",0.257567302601815,2.97592504134463e-05,0.998713411787528,40
"41",0.259719624024953,2.97592519501317e-05,0.998934501990737,41
"42",0.261787993367288,2.97592529364796e-05,0.999117282276516,42
"43",0.263776926834283,2.97592535698553e-05,0.99926845035309,43
"44",0.265690624860791,2.97592539766937e-05,0.999393521870764,44
"45",0.26753299920891,2.97592542381989e-05,0.99949704108739,45
"46",0.269307697336317,2.97592544062722e-05,0.999582753621305,46
"47",0.271018124346991,2.97592545143891e-05,0.999653748176571,47
"48",0.272667462796886,2.97592545839711e-05,0.999712572867369,48
"49",0.274258690593164,2.97592546286985e-05,0.999761330737952,49
"50",0.275794597196149,2.97592546575165e-05,0.99980175823677,50
